Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:ccal;Characteristics:prot;Characteristics:fat;Characteristics:carb;Weight;Length;Width;Height
1,61144E+11;;;;dishes;home-7-3;Спагетти болоньезе;Спагетти, мясной фарш, томат, лук, морковь, сыр;https://static.tildacdn.com/tild6531-3631-4866-b230-663931346162/Rectangle_28.png;0;;;;;aldPxLYhOxVpfMzI4kYJ;;;;;;280;0;0;0
3,86621E+11;;;;dishes;home-7-4;Картофельный крем суп с гренками;Картофель, лук, пшеничный хлеб;https://static.tildacdn.com/tild3866-6663-4863-a133-343365646230/Mask_Group-5.png;0;;;;;3Tz5CDpiBL77MFPVC1YJ;;;;;;280;0;0;0
6,28087E+11;;;;dishes;home-7-5;Блинчики с мясом;Молоко, яйцо, мука, фарш мясной, сметана, зелень;https://static.tildacdn.com/tild6164-6333-4166-b231-353964386133/Rectangle_29-4.png;0;;;;;yszMIRhe848ECdaXRZTN;;;;;;250;0;0;0
9,06799E+11;;;;dishes;home-7-6;Рулет мясной с овощами на пару;Кукуруза, брокколи, цветная капуста, бэйби морковь, соус сливочный, специи, шпинат, фарш куриный, зелень.;https://static.tildacdn.com/tild3235-3337-4965-b533-316665303634/Rectangle_50.png;0;;;;;7p8ogIeMf33cE18F5LaE;;;;;;0;0;0;0
2,92869E+11;;;;dishes;home-7-dessert;Баркетта с вишней и творожным кремом;Морковь, сыр творожный, сахар, мука, масло, яйцо, грецкий орех, ананас;https://static.tildacdn.com/tild3762-3564-4965-b034-303762323438/Rectangle_16.png;0;;;;;c3x8nj0z4EzlvCsiGl9F;;;;;;60;0;0;0
2,97232E+11;;;;dishes;lite-1-1;Глазунья со стручковой фасолью и томатами;Яйцо, томат, фасоль стручковая;https://static.tildacdn.com/tild3030-3337-4632-b462-373865373666/Rectangle_10.png;0;;;;;MPbYJfu1gUURmbi58CDx;;;;;;200;0;0;0
9,39382E+11;;;;dishes;lite-1-2;Мясной рулет с молодыми овощами;Фарш домашний, специи, шпинат, морковь, цветная капуста, кукуруза, брокколи, соус;https://static.tildacdn.com/tild3339-3666-4734-b931-326463393439/Rectangle_28.png;0;;;;;B2mzZybFDLIlj7KiSuOT;;;;;;250;0;0;0
3,13447E+11;;;;dishes;lite-1-3;Салат с кус-кусом и медово-горчичной заправкой;Томат, салат, филе куриное, огурец, кус-кус, мед, горчица зернистая;https://static.tildacdn.com/tild3734-3030-4862-b537-333165303136/Rectangle_29.png;0;;;;;gfl4kARZbLf5Xh7Lao5m;;;;;;120;0;0;0
2,95058E+11;;;;dishes;lite-1-4;Минестроне;Брокколи, горошек, фасоль стручковая, цветная капуста, томат;https://static.tildacdn.com/tild3361-6435-4431-b536-316466623664/Mask_Group.png;0;;;;;L284muIyFn39GRFJD9xJ;;;;;;280;0;0;0
6,72556E+11;;;;dishes;lite-1-5;Тунец унаги с рисом;"Тунец филе, соус ""унаги"", кунжут, рис";https://static.tildacdn.com/tild3732-3234-4233-b030-636632353738/Rectangle_30.png;0;;;;;sFor9dzmnJyuf2kEkrIY;;;;;;250;0;0;0
3,84959E+11;;;;dishes;lite-1-6;Бифштекс с яйцом и гречей;Греча, яйыо, специи, говядина, свинина, зелень;https://static.tildacdn.com/tild6562-3137-4437-b166-643561633435/Rectangle_44.png;0;;;;;piuyXIGcOtJd71ofM01r;;;;;;250;0;0;0
5,82698E+11;;;;dishes;lite-1-dessert;Чизкейк классический;Сыр творожный, пшеничная мука, вода, соль, лимонная кислота, сахар, патока, меланж, сливки;https://static.tildacdn.com/tild6338-6362-4036-a562-643465383838/Rectangle_23.png;0;;;;;DtlNVnPHDhtVPip1FK3d;;;;;;50;0;0;0
4,62889E+11;;;;dishes;lite-2-1;Салат коул-слоу;Капуста, капуста красная, морковь, клюква, соус;https://static.tildacdn.com/tild3565-3731-4863-a639-353961313630/Rectangle_28.png;0;;;;;4PtAa4K0UIRYYFe1YKbH;;;;;;120;0;0;0
7,74307E+11;;;;dishes;lite-2-2;Пшеничка с крекером;Пшеничка, крекер, молоко, фруктоза, масло сливочное;https://static.tildacdn.com/tild6663-6634-4163-b334-363531623835/Rectangle_29.png;0;;;;;2bIJ9jVVf5FVAYdSbRbM;;;;;;250;0;0;0
4,08242E+11;;;;dishes;lite-2-3;Спагетти с томленой курочкой;Спагетти, специи, филе куры, морковь, лук, тимьян;https://static.tildacdn.com/tild3336-6433-4339-a332-336533313661/Rectangle_30.png;0;;;;;3tcmsX0xrgRSvUiJJtYm;;;;;;250;0;0;0
2,56729E+11;;;;dishes;lite-2-4;Гаспачо;Томат, базилик, огурец, красный лук;https://static.tildacdn.com/tild3337-3465-4234-a637-613562393564/Mask_Group.png;0;;;;;JGCSbzlR1ZfAVf0Cu0hl;;;;;;280;0;0;0
